sharmila	 tag 	 sean 	 tag 	 agreement 	 comment 
We	O	We	O	True	 
show	O	show	O	True	 
that	O	that	O	True	 
democratic	variable	democratic	O	False	 
change	variable	change	O	False	 
may	O	may	O	True	 
be	O	be	O	True	 
triggered	O	triggered	O	True	 
by	O	by	O	True	 
transitory	O	transitory	O	True	 
economic	variable	economic	O	False	 
shocks	variable	shocks	O	False	 
.	O	.	O	True	 
Our	O	Our	O	True	 
approach	O	approach	O	True	 
uses	O	uses	O	True	 
within	O	within	O	True	 
-	O	-	O	True	 
country	O	country	O	True	 
variation	O	variation	O	True	 
in	O	in	O	True	 
rainfall	O	rainfall	O	True	 
as	O	as	O	True	 
a	O	a	O	True	 
source	O	source	O	True	 
of	O	of	O	True	 
transitory	O	transitory	O	True	 
shocks	O	shocks	O	True	 
to	O	to	O	True	 
sub	O	sub	O	True	 
-	O	-	O	True	 
Saharan	O	Saharan	O	True	 
African	O	African	O	True	 
economies	O	economies	O	True	 
.	O	.	O	True	 
We	O	We	O	True	 
find	O	find	O	True	 
that	O	that	O	True	 
negative	O	negative	O	True	 
rainfall	O	rainfall	O	True	 
shocks	O	shocks	O	True	 
are	O	are	O	True	 
followed	O	followed	O	True	 
by	O	by	O	True	 
significant	O	significant	O	True	 
improvement	O	improvement	O	True	 
in	O	in	O	True	 
democratic	O	democratic	O	True	 
institutions	O	institutions	O	True	 
.	O	.	O	True	 
This	O	This	O	True	 
result	O	result	O	True	 
is	O	is	O	True	 
consistent	O	consistent	O	True	 
with	O	with	O	True	 
the	O	the	O	True	 
economic	O	economic	O	True	 
approach	O	approach	O	True	 
to	O	to	O	True	 
political	O	political	O	True	 
transitions	O	transitions	O	True	 
		O			O	True	 
where	O	where	O	True	 
transitory	O	transitory	O	True	 
negative	O	negative	O	True	 
shocks	O	shocks	O	True	 
can	O	can	O	True	 
open	O	open	O	True	 
a	O	a	O	True	 
window	O	window	O	True	 
of	O	of	O	True	 
opportunity	O	opportunity	O	True	 
for	O	for	O	True	 
democratic	O	democratic	O	True	 
improvement	O	improvement	O	True	 
.	O	.	O	True	 
Instrumental	O	Instrumental	O	True	 
variables	O	variables	O	True	 
estimates	O	estimates	O	True	 
indicate	O	indicate	O	True	 
that	O	that	O	True	 
following	O	following	O	True	 
a	O	a	O	True	 
transitory	O	transitory	O	True	 
negative	O	negative	O	True	 
income	O	income	variable	False	 
shock	O	shock	variable	False	 
of	O	of	O	True	 
1	O	1	O	True	 
percent	O	percent	O	True	 
		O			O	True	 
democracy	O	democracy	variable	False	 
scores	O	scores	variable	False	 
improve	O	improve	O	True	 
by	O	by	O	True	 
0.9	O	0.9	O	True	 
percentage	O	percentage	O	True	 
points	O	points	O	True	 
and	O	and	O	True	 
the	O	the	O	True	 
probability	O	probability	variable	False	 
of	O	of	variable	False	 
a	O	a	variable	False	 
democratic	O	democratic	variable	False	 
transition	O	transition	variable	False	 
increases	O	increases	O	True	 
by	O	by	O	True	 
1.3	O	1.3	O	True	 
percentage	O	percentage	O	True	 
points	O	points	O	True	 
.	O	.	O	True	 
